,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Juliette,"Fake baby photographer drugged woman to steal newborn, Pierce County detectives say",2018-02-15 00:00:00+00:00,involve,2,She was also involved in a bomb-making situation two years ago and ran for mayor of a Colorado city.,She was also involved in a bomb making situation two years ago and ran for mayor of a Colorado city,two years ago,FALSE,20,TRUE,7 days,2018-02-22 00:00:00+00:00,https://www.khou.com/article/news/local/fake-baby-photographer-drugged-woman-to-steal-newborn-pierce-county-detectives-say/281-f15ee9c5-30c1-45ce-94d0-23ae22528860
1,Juliette,"Fake baby photographer drugged woman to steal newborn, Pierce County detectives say",2020-02-09 00:00:00+00:00,release,4,Parker was released from jail on bond on Sunday.,Parker was released from jail on bond on Sunday,Sunday,FALSE,26,TRUE,7 days,2020-02-16 00:00:00+00:00,https://www.khou.com/article/news/local/fake-baby-photographer-drugged-woman-to-steal-newborn-pierce-county-detectives-say/281-f15ee9c5-30c1-45ce-94d0-23ae22528860
2,Juliette,"Fake baby photographer drugged woman to steal newborn, Pierce County detectives say",2020-02-14 00:00:00+00:00,arrest,1,Detectives arrested 38-year-old Parker at her home in Graham on Friday. ,Detectives arrested 38 year old Parker at home in Graham on Friday,Friday,FALSE,18,TRUE,7 days,2020-02-21 00:00:00+00:00,https://www.khou.com/article/news/local/fake-baby-photographer-drugged-woman-to-steal-newborn-pierce-county-detectives-say/281-f15ee9c5-30c1-45ce-94d0-23ae22528860
3,Juliette,"Fake baby photographer drugged woman to steal newborn, Pierce County detectives say",2020-02-15 00:00:00+00:00,kidnap,0,The 38-year-old suspect and her teen daughter allegedly drugged a mother with a cupcake and stole her keys in an elaborate plot to kidnap a baby.,to kidnap a baby,0,FALSE,0,FALSE,,,https://www.khou.com/article/news/local/fake-baby-photographer-drugged-woman-to-steal-newborn-pierce-county-detectives-say/281-f15ee9c5-30c1-45ce-94d0-23ae22528860
4,Juliette,"Fake baby photographer drugged woman to steal newborn, Pierce County detectives say",2020-02-15 00:00:00+00:00,attempt,3,She was booked into the Pierce County Jail on charges of assault and attempted kidnapping. ,She was booked into the Pierce County Jail on charges of assault and attempted kidnapping,0,FALSE,24,FALSE,,,https://www.khou.com/article/news/local/fake-baby-photographer-drugged-woman-to-steal-newborn-pierce-county-detectives-say/281-f15ee9c5-30c1-45ce-94d0-23ae22528860
5,Juliette,Mother recalls close call with Pierce County woman posing as photographer to steal newborn,2020-02-16 00:00:00+00:00,accuse,5,A woman and her teen daughter are behind bars accused of an elaborate plot to kidnap a baby. ,A woman and teen daughter are behind bars accused of an elaborate plot,0,FALSE,0,FALSE,,,https://www.khou.com/article/news/local/pierce-county-woman-fake-photographer-steal-newborn-plot-mother-speaks-out/281-dad84f70-362a-480f-a6f9-2df69a1a3320
6,Juliette,Mother recalls close call with Pierce County woman posing as photographer to steal newborn,2020-02-16 00:00:00+00:00,ask,7,KING 5 spoke with another mother who was struggling financially during her pregnancy and asked for help through a community group. ,KING 5 spoke with another mother who and asked for help through a community group,0,FALSE,24,FALSE,,,https://www.khou.com/article/news/local/pierce-county-woman-fake-photographer-steal-newborn-plot-mother-speaks-out/281-dad84f70-362a-480f-a6f9-2df69a1a3320
