,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Jeff Pynes,"Former Freeport city manager arrested for theft, accused of stealing $223K",2018-06-22 00:00:00+00:00,arrest,1,The former city manager of Freeport was arrested Friday and charged with theft. ,The former city manager of Freeport was arrested Friday and charged with theft,Friday,FALSE,2,TRUE,7 days,2018-06-29 00:00:00+00:00,https://www.khou.com/article/news/crime/former-freeport-city-manager-arrested-for-theft-accused-of-stealing-223k/285-566800902
1,Jeff Pynes,"Former Freeport city manager arrested for theft, accused of stealing $223K",2018-06-22 00:00:00+00:00,charge,1,The former city manager of Freeport was arrested Friday and charged with theft. ,The former city manager of Freeport was arrested Friday and charged with theft,Friday,FALSE,2,TRUE,7 days,2018-06-29 00:00:00+00:00,https://www.khou.com/article/news/crime/former-freeport-city-manager-arrested-for-theft-accused-of-stealing-223k/285-566800902
2,Jeff Pynes,"Former Freeport city manager arrested for theft, accused of stealing $223K",2018-06-22 00:00:00+00:00,accuse,2,He is accused of taking kickbacks and stealing hundreds of thousands of dollars.,He is accused of,0,FALSE,2,FALSE,,,https://www.khou.com/article/news/crime/former-freeport-city-manager-arrested-for-theft-accused-of-stealing-223k/285-566800902
3,Jeff Pynes,"Former Freeport city manager arrested for theft, accused of stealing $223K",2018-06-22 00:00:00+00:00,involve,3,It prompted the Texas Rangers and Brazoria County District Attorney to get involved.,to get involved,0,FALSE,4,FALSE,,,https://www.khou.com/article/news/crime/former-freeport-city-manager-arrested-for-theft-accused-of-stealing-223k/285-566800902
4,Jeff Pynes,Former Freeport city manager sentenced to 10 years in theft,2020-01-24 00:00:00+00:00,sentence,0,"The former city manager of Freeport was sentenced to 10 years in prison for his part in a kickback scheme and the theft of more than $200,000 from the city.",The former city manager of Freeport was sentenced to 10 years in prison for part in a kickback scheme and the theft of more than from the city,0,FALSE,4,FALSE,,,https://www.khou.com/article/news/crime/former-freeport-city-manager-sentenced-to-10-years-in-theft-of-223k-from-city/285-92cfc0cd-69b1-4904-802a-f00641fd17af
