,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
18,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,kill,39,James Closs was shot and killed near the front door of the home. ,James Closs was shot and killed near the front door of the home,0,FALSE,212,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
19,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,shoot,39,James Closs was shot and killed near the front door of the home. ,James Closs was shot and killed near the front door of the home,0,FALSE,212,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
20,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,force,41,Patterson forced Jayme to hide under a twin bed when he left the home or had company. ,Patterson forced Jayme,0,FALSE,216,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
21,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,call,42,"Nutter took Jayme to another neighbor's house, where they called 911.",they called 911,0,FALSE,220,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
22,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,kidnap,44,Deputies from the Douglas County Sheriff's Department spotted a red Ford vehicle similar to one seen after Jayme was kidnapped. ,Jayme was kidnapped,0,FALSE,222,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
23,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,appear,46,"Patterson appears in court via video for the homicide, kidnapping and armed burglary charges.",Patterson appears in court via video for the homicide kidnapping and armed burglary charges,0,FALSE,236,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
24,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,obtain,48,The internet tabloid Radar Online claims on to have obtained a copy of a letter from Jake Patterson appearing to reply to someone who had written him. ,to have obtained a copy of a letter from Jake Patterson appearing,0,FALSE,255,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
25,Jake Patterson,Jayme Closs found: A timeline of events,2019-01-11 00:00:00+00:00,accuse,49,He also accuses police of twisting his words to cover up their mistakes.,He also accuses police of,0,FALSE,261,FALSE,,,https://www.postcrescent.com/story/news/2019/01/11/jayme-closs-found-safe-timeline-events/2545758002/
26,Jake Patterson,"Jayme Closs' Kidnapper Killed Animals, Was 'Full Of Rage,' Ex Claims",2019-01-15 00:00:00+00:00,claim,86,"Before he was accused of murdering James and Denise Closs and kidnapping their teen daughter Jayme, Jake Patterson killed a dog, collected dead animal heads and slashed the tires of his former girlfriend's mother's car, his ex claimed to RadarOnline.com in an exclusive interview.",Before ex claimed to in an exclusive interview,0,FALSE,4,FALSE,,,https://radaronline.com/exclusives/2019/01/jayme-closs-kidnapper-killed-animals-full-of-rage-ex-claims/
27,Jake Patterson,Jayme Closs' Kidnapper Reveals Love For Teen In Jailhouse Letter,2019-02-18 00:00:00+00:00,question,77,Others have questioned why Patterson came to hatch the meticulously planned abduction — even shaving his head to avoid leaving any DNA trace — to snatch a girl he claimed he'd seen only once in his life as she was getting off a school bus.,Others have questioned why,0,FALSE,21,FALSE,,,https://radaronline.com/exclusives/2019/02/jayme-closs-kidnapper-jake-patterson-prison-letter-love-for-teen/?_ga=2.52120553.1181361824.1599844964-546963289.1599844964
28,Jake Patterson,Jayme Closs' Kidnapper Reveals Love For Teen In Jailhouse Letter,2019-02-18 00:00:00+00:00,snatch,79,Others have questioned why Patterson came to hatch the meticulously planned abduction — even shaving his head to avoid leaving any DNA trace — to snatch a girl he claimed he'd seen only once in his life as she was getting off a school bus.,head snatch a girl,0,FALSE,21,FALSE,,,https://radaronline.com/exclusives/2019/02/jayme-closs-kidnapper-jake-patterson-prison-letter-love-for-teen/?_ga=2.52120553.1181361824.1599844964-546963289.1599844964
29,Jake Patterson,Jake Patterson writes to TV reporter that he will plead guilty in Jayme Closs abduction case,2019-03-07 00:00:00+00:00,disappear,83,"Jayme, whose parents James and Denise were shot to death the night she disappeared, escaped Patterson's home shortly before police found him driving around apparently looking for her, according to a criminal complaint.",she disappeared,0,FALSE,19,FALSE,,,https://www.thenorthwestern.com/story/news/crime/2019/03/07/jake-patterson-letter-jayme-closs-reporter-sorry-plead-guilty/3098130002/?_ga=2.52120553.1181361824.1599844964-546963289.1599844964
30,Jake Patterson,"Jake Patterson pleads guilty to Jayme Closs kidnapping, parents' murders",2019-03-27 00:00:00+00:00,abduct,2,"Patterson, who had no known connection to the Closs family and no criminal record, gunned down James and Denise Closs in the pre-dawn hours on Oct. 15 and abducted their only child, Jayme. ",Patterson who gunned down James and Denise Closs in the hours on 15 and abducted only child Jayme,0,FALSE,24,FALSE,,,https://www.greenbaypressgazette.com/story/news/2019/03/27/jayme-closs-jake-patterson-pleads-guilty-kidnapping-double-murder/3226189002/
31,Jake Patterson,"Jake Patterson pleads guilty to Jayme Closs kidnapping, parents' murders",2019-03-27 00:00:00+00:00,rescue,4,Jayme escaped on Jan. 10 and was rescued by Patterson's neighbors. ,Jayme escaped on 10 and was rescued by Patterson neighbors,0,FALSE,30,FALSE,,,https://www.greenbaypressgazette.com/story/news/2019/03/27/jayme-closs-jake-patterson-pleads-guilty-kidnapping-double-murder/3226189002/
