,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Beltran,Mom details moments after her son says he was almost abducted from a Walmart bathroom,2019-06-11 00:00:00+00:00,happen,0,"According to the mother, the boy explained to his brother what had happened.",had happened,0,False,20,False,,,https://www.11alive.com/article/news/crime/mom-details-moments-after-her-son-says-he-was-almost-abducted-from-a-walmart-bathroom/85-40349a22-2ec8-4ce4-9dee-f5afc70c8ccf
1,Beltran,Mom details moments after her son says he was almost abducted from a Walmart bathroom,2019-06-11 00:00:00+00:00,attempt,1,"At that point, she learned from her sons of the attempted abduction. ",At that point she learned from sons of the attempted abduction,0,False,24,False,,,https://www.11alive.com/article/news/crime/mom-details-moments-after-her-son-says-he-was-almost-abducted-from-a-walmart-bathroom/85-40349a22-2ec8-4ce4-9dee-f5afc70c8ccf
2,Beltran,Mom details moments after her son says he was almost abducted from a Walmart bathroom,2019-06-11 00:00:00+00:00,see,2,Then she saw the man for herself.,Then she saw the man for herself,0,False,24,False,,,https://www.11alive.com/article/news/crime/mom-details-moments-after-her-son-says-he-was-almost-abducted-from-a-walmart-bathroom/85-40349a22-2ec8-4ce4-9dee-f5afc70c8ccf
3,Beltran,Mom details moments after her son says he was almost abducted from a Walmart bathroom,2019-06-11 00:00:00+00:00,call,3,At that point she got to a Walmart manager and they called the police.,they called the police,0,False,38,False,,,https://www.11alive.com/article/news/crime/mom-details-moments-after-her-son-says-he-was-almost-abducted-from-a-walmart-bathroom/85-40349a22-2ec8-4ce4-9dee-f5afc70c8ccf
4,Beltran,Mom details moments after her son says he was almost abducted from a Walmart bathroom,2019-06-11 00:00:00+00:00,arrive,4,"When police arrived, they were able to apprehend Beltran.",police arrived,0,False,42,False,,,https://www.11alive.com/article/news/crime/mom-details-moments-after-her-son-says-he-was-almost-abducted-from-a-walmart-bathroom/85-40349a22-2ec8-4ce4-9dee-f5afc70c8ccf
5,Beltran,Mom details moments after her son says he was almost abducted from a Walmart bathroom,2019-06-11 00:00:00+00:00,charge,5,Beltran is charged with misdemeanor simple battery and felony kidnapping. ,Beltran is charged with misdemeanor simple battery and felony kidnapping,0,False,44,False,,,https://www.11alive.com/article/news/crime/mom-details-moments-after-her-son-says-he-was-almost-abducted-from-a-walmart-bathroom/85-40349a22-2ec8-4ce4-9dee-f5afc70c8ccf
6,Beltran,Police: He tried to kidnap a child at a Walmart. It happened in the bathroom.,2019-06-11 00:00:00+00:00,claim,7,"When Beltran was unable to lure the boy away verbally, police claim that he grabbed him by the arm. ",When police claim that,0,False,6,False,,,https://www.khou.com/article/news/national/police-he-tried-to-kidnap-a-child-at-a-walmart-it-happened-in-the-bathroom/285-733dc588-1721-4aae-8fa6-c7ba6c4d6e0b
